Symbol,Essential_Zscore,Doench_score,SSC_score,DeepHF_score,DeepCRISPR_score,FrameShift_IndelPhi,FrameShift_Lindel,FrameShift_FORECasT,Domain_pfam,PROVEAN_score,SIFT_score,Helix,Sheet,Phosphorylation,Acetylation,seq_score,pro_score,ind_score,combined_seq_ind,combined_seq_pro,combined_pro_ind,combined_all
VARS,1.306505141,0.083,0.026513,0.431299627,0.295465052,56.967416,0.718,52.87600000000001,1,-3.47,0.139737101,1,0,0.0,0.0,-0.011712016330882234,0.03103099414950573,0.22672623757803945,0.19213203771672382,-0.05522864076677175,0.1107180126671535,0.11412835935235707
VARS,1.189828235,0.043,-0.123607,0.501628995,0.122703493,68.33045335,0.732,66.922,1,-4.86,0.438528409,1,0,0.0,0.0,0.1647749967307391,0.007354721937137989,0.060243053834839966,0.20259677565105738,0.08073502667558385,-0.05461582563043582,0.1212963224469994
VARS,1.4415278969999998,0.114,-0.270728,0.451735169,0.244865119,69.83683547,0.77,74.676,1,-4.86,0.438528409,1,0,0.0,0.0,-0.06749651501445691,0.007354721937137989,-0.059645362394588675,-0.1740743920360745,-0.13689025038826852,-0.15149367669594352,-0.17644394952208609
VARS,1.0925884540000002,0.412,0.7052,0.596639276,0.261946112,65.33410454,0.8140000000000001,63.872,1,-5.6,0.717307765,1,0,0.0,0.0,0.06267662407042182,0.015659668497922653,0.0995534519324747,0.13740312952403463,-0.004331750811051004,-0.01101927116882777,0.06950015415908584
VARS,0.99624178,0.12,0.14974400000000002,0.680377841,0.241723984,55.64399324,0.669,65.238,1,-6.82,1.185435124,1,0,0.0,0.0,-0.3440528050866959,-0.003435153093963368,0.1550855119441104,-0.23806919181981812,-0.4109028410570518,0.014966346213360276,-0.27717902128225574
VARS,-0.184270961,0.122,0.685809,0.616066575,0.14566658400000002,87.05792890000002,0.855,82.04299999999998,1,-8.47,1.3656633669999998,1,0,0.0,0.0,0.08527151681398717,-0.08976440073822947,-0.19816874179063562,-0.15744751879675287,-0.11659103012288116,-0.382523635507102,-0.2555096678487088
VARS,0.257304278,0.363,0.420183,0.6852716209999999,0.41166389,75.21439357,0.84,79.475,1,-8.29,1.441600945,1,0,0.0,0.0,-0.3558596284697873,-0.06931563920850557,-0.22775322396191733,-0.6599094323606078,-0.5057070734818199,-0.38374149959874604,-0.6532747532360691
VARS,0.502050639,0.182,0.16330799999999998,0.649494946,0.18191205,84.63790498,0.7979999999999999,71.575,1,-9.62,1.508271532,1,0,0.0,0.0,-0.33914554020628696,-0.1437139971675945,-0.14211570936111168,-0.54898969695198,-0.585285274742142,-0.40403402914803915,-0.6643274276250533
VARS,-0.002802983,0.259,-0.144673,0.594100773,0.198543519,85.32032315,0.823,75.443,1,-6.51,1.720902378,1,0,0.0,0.0,-0.1357131979603877,0.0049085811738570325,-0.23651532752674442,-0.43023682084677384,-0.2035345687698098,-0.29357645344211697,-0.3655624224969708
VARS,1.338141144,0.05,0.293863,0.560868502,0.212429777,45.97428396,0.655,50.03100000000001,1,-8.32,1.766055345,1,0,0.0,0.0,0.17286068812778324,-0.04541733694016764,0.32538750768071206,0.48991144686381755,0.021758438709098375,0.09460724408388557,0.2593888996294737
VARS,0.411331014,0.293,0.918834,0.6475273970000001,0.495545924,80.44961155,0.818,78.991,1,-5.63,1.802951915,1,0,0.0,0.0,-0.3093771045625086,0.08721026061521897,-0.10666225923519038,-0.4805060456013336,-0.2643283482494184,-0.08955946425508873,-0.33311480073453337
VARS,1.760660242,0.06,0.006136,0.425196528,0.139915362,56.06222224,0.657,52.577,1,-9.14,1.897663462,1,0,0.0,0.0,0.09540712272408068,-0.07327079500248465,0.338206148753595,0.42551835825486817,-0.08670164641082004,0.07301191538274455,0.1672260301161419
VARS,1.161502607,0.76,0.63407,0.7042039040000001,0.17413446300000002,70.2476781,0.77,68.43,1,-10.06,1.933580015,0,0,0.0,0.0,-0.4357915915302226,-0.050885197395845336,0.03660112828762862,-0.4633376513130235,-0.5579788887622247,-0.1444055937668209,-0.5083592883433663
VARS,1.6724945569999998,0.008,0.189619,0.614055097,0.230176002,64.84144837,0.642,63.525,1,-11.06,1.976601274,0,0,0.0,0.0,-0.03194407711900054,-0.11563351608826426,0.10498557286986368,0.03803362515685862,-0.258126909626378,-0.1706363725825744,-0.1710043457288528
VARS,1.415638476,0.804,0.362403,0.6673765779999999,0.511211991,64.92859409,0.6990000000000001,65.699,1,-9.91,2.02747535,0,0,0.0,0.0,-0.5602572140119936,-0.02673019098959422,0.08562282481645869,-0.5446024443488258,-0.6456037901372085,-0.07432916278766326,-0.5568116192063512
VARS,0.6666049279999999,0.156,-0.374526,0.514311075,0.162658781,68.16580204,0.795,69.46600000000001,1,-12.01,2.314583445,0,0,0.0,0.0,-0.1495826397966776,-0.07690850468633117,-0.0784610458164224,-0.27895915678828154,-0.31887408803419404,-0.2693268910430744,-0.36224789843875693
